"Slug","Name","Description","Visual","Visual:alt","Case Study","URL","Content"
"clickup","ClickUp","Productivity Software","https://framerusercontent.com/images/6j9cEWq1sLl3G13QWpsTZpJw74.png","","/blog/clickup","https://clickup.com/","<p>ClickUp modernized its whiteboard for millions of users, replacing legacy infrastructure with the tldraw SDK.</p>"
"padlet","Padlet","Education Platform","https://framerusercontent.com/images/GLKnY7s2EDUnERF54yMNtBVtW0.png","","/blog/padlet","https://padlet.com/","<p>When Padlet saw an opportunity for a new whiteboard, they built it with tldraw—and shipped Sandbox in record time.</p>"
"mobbin","Mobbin","Design Platform","https://framerusercontent.com/images/oDfmHEiCGF6iKlEboQmajP2I.png","","/blog/mobbin","https://mobbin.com/","<p>Faced with slow, rigid software, Mobbin used tldraw to build custom tools—faster than off-the-shelf solutions.</p>"
"jam","Jam","Issue Tracker","https://framerusercontent.com/images/MCUBXNU3C8M6ySqQqjVWNRfzqg0.png","","/blog/jam","https://jam.dev/","<p>A collaborative bug reporting tool that helps teams capture issues, add context, and share feedback visually.</p>"
"genio","Genio","Collaborative Notes","","","","https://genio.co/","<p>A collaborative notes app that captures and connects ideas in one space, blending notes, sketches, and real-time collaboration.</p>"
"alai","Alai","AI Presentation Tool","","","","https://getalai.com/","<p>An AI presentation tool with smart blocks that adapt to your content, so you can focus on the message instead of formatting.</p>"
"de","LegendKeeper","Worldbuilding Tool","","","","https://www.legendkeeper.com/","<p>A worldbuilding platform for writers and game masters to design immersive worlds, linking characters, lore, and maps together on a shared canvas.</p>"
"cadchat","CadChat","Collaborative CAD-Tool","","","","https://genio.co/","<p>A meeting tool for engineers that lets teams review CAD models together, markup in 2D, and annotate 3D snapshots in real time.</p>"
"aries","Aries","Financial Workspace","","","","https://aries.com/infinite","<p>A financial workspace that gives traders a customizable canvas to arrange market data, analytics, and execution tools side by side.</p>"
"dirac","Dirac","Work Instructions","","","","https://www.diracinc.com/","<p>A manufacturing platform that transforms CAD files into interactive work instructions. Using an annotated canvas to clarify steps and capture feedback in real time.</p>"
"matilda","Matilda","AI CRM Workspace","","","","https://www.matilda.io/","<p>A tool for climate engineers to clean up and adjust building models in 2D, ensuring reliable data flows into energy analysis.</p>"
"pollination","Pollination","Energy Simulation Models","","","","https://www.pollination.solutions/","<p>A tool for climate engineers to clean up and adjust building models in 2D, ensuring reliable data flows into energy analysis.</p>"
"bigpi","BigPi","AI-native Workspace","","","","https://www.bigpi.ai/","<p>A platform for planning and knowledge work, where interactive charts, RFP responses, and documents all come together in one visual workspace.</p>"
"grow-therapy","Grow Therapy","Mental Health Platform","","","","https://growtherapy.com/","<p>A mental health platform with an interactive whiteboard built into telehealth visits, making therapy more accessible for visual learners and younger clients.</p>"